CP,HP,性別,重さ,高さ,技1,技2,コメント,特出ステータス,特出ステータスコメント,色違い(0:原種、1:色違い、2:サングラス)
593,62,"♂",12.08,0.59,"たいあたり","アクアテール","全体的に普通以上","こうげき","測定できないほど高い。最高だ！",0
573,65,"♂", 9.69,0.54,"たいあたり","みずのはどう","全体的に目を引くものがある","こうげき","測定できないほど高い。最高だ!",0
570,66,"♀", 5.68,0.38,"たいあたり","アクアジェット","全体的に目を引くものがある","こうげき","測定できないほど高い。最高だ!",0
559,68,"♂", 9.37,0.51,"あわ","アクアジェット","全体的になかなか活躍が難しそうだ。","HP、こうげき","かなりの強さ",0
549,65,"♀",10.62,0.55,"たいあたり","みずのはどう","全体的に普通以上","こうげき","測定できないほど高い。最高だ！",0
518,64,"♀", 4.41,0.43,"あわ","みずのはどう","全体的に普通以上","こうげき","測定できないほど高い。最高だ！",0
517,63,"♀", 6.85,0.39,"あわ","アクアジェット","全体的に普通以上","こうげき","かなりの強さ",0
493,59,"♂", 8.48,0.49,"たいあたり","アクアテール","全体的になかなか活躍が難しそうだ。","こうげき","素晴らしい。驚いている。",0
488,58,"♂", 8.13,0.49,"あわ","アクアテール","全体的に普通以上。","こうげき","測定できないほど高い。最高だ！",0
457,62,"♂", 7.17,0.39,"あわ","アクアテール","全体的に普通以上。","HP、ぼうぎょ","かなりの強さ",0
436,59,"♂",14.70,0.60,"たいあたり","アクアジェット","全体的に普通以上","HP、こうげき","かなりの強さ",0
424,60,"♂", 6.70,0.44,"たいあたり","アクアジェット","全体的になかなか活躍が難しそう","HP","かなりの強さ",0
410,59,"♀", 9.56,0.54,"たいあたり","アクアテール","全体的に目を引くものがある。","HP","測定できないほど高い。最高だ！",0
387,53,"♂", 5.78,0.40,"たいあたり","アクアジェット","全体的に目を引くものがある。","こうげき","素晴らしい。驚いている。",0
384,56,"♂", 9.56,0.56,"あわ","みずのはどう","全体的に目を引くものがある。","ぼうぎょ","素晴らしい。驚いている。",0
382,53,"♀", 9.91,0.57,"あわ","アクアテール","全体的になかなか活躍が難しそうだ。","こうげき","まあまあ",0
380,53,"♂", 8.76,0.50,"たいあたり","アクアテール","全体的になかなか活躍が難しそうだ。","ぼうぎょ","かなりの強さ",0
358,57,"♂",11.80,0.55,"あわ","アクアジェット","全体的になかなか活躍が難しそうだ。","HP","かなりの強さ",0
355,55,"♀", 8.68,0.51,"たいあたり","アクアジェット","全体的に普通以上。","ぼうぎょ","素晴らしい。驚いている。",0
353,55,"♀",11.69,0.54,"あわ","アクアテール","全体的に目を引くものがある。","HP","測定できないほど高い。最高だ！",0
